Process,Arrival,Burst
P1,0,1
P2,1,14
P3,2,4
P4,3,19
P5,4,18
P6,5,5
P7,6,14
P8,7,2
P9,8,16
P10,9,4
P11,10,6
P12,11,13
P13,12,3
P14,13,20
P15,14,1
P16,15,9
P17,16,10
P18,17,12
P19,18,3
P20,19,10
P21,20,8
P22,21,12
P23,22,7
P24,23,4
P25,24,6
P26,25,4
P27,26,11
P28,27,5
P29,28,15
P30,29,6
P31,30,7
P32,31,6
P33,32,6
P34,33,16
P35,34,5
P36,35,6
P37,36,10
P38,37,9
P39,38,14
P40,39,1
P41,40,8
P42,41,18
P43,42,3
P44,43,13
P45,44,13
P46,45,19
P47,46,2
P48,47,17
P49,48,10
P50,49,20
P51,50,7
P52,51,8
P53,52,15
P54,53,3
P55,54,6
P56,55,6
P57,56,3
P58,57,5
P59,58,15
P60,59,14
P61,60,9
P62,61,19
P63,62,19
P64,63,5
P65,64,9
P66,65,1
P67,66,15
P68,67,16
P69,68,10
P70,69,1
P71,70,11
P72,71,14
P73,72,9
P74,73,14
P75,74,13
P76,75,17
P77,76,4
P78,77,20
P79,78,5
P80,79,14
P81,80,19
P82,81,4
P83,82,16
P84,83,4
P85,84,18
P86,85,12
P87,86,18
P88,87,20
P89,88,4
P90,89,4
P91,90,10
P92,91,2
P93,92,8
P94,93,10
P95,94,1
P96,95,6
P97,96,18
P98,97,8
P99,98,10
P100,99,10
P101,100,19
P102,101,12
P103,102,20
P104,103,2
P105,104,15
P106,105,4
P107,106,17
P108,107,17
P109,108,20
P110,109,4
P111,110,8
P112,111,8
P113,112,8
P114,113,3
P115,114,9
P116,115,2
P117,116,14
P118,117,11
P119,118,4
P120,119,11
P121,120,18
P122,121,12
P123,122,2
P124,123,2
P125,124,5
P126,125,20
P127,126,12
P128,127,18
P129,128,16
P130,129,19
P131,130,11
P132,131,13
P133,132,6
P134,133,1
P135,134,2
P136,135,20
P137,136,1
P138,137,18
P139,138,10
P140,139,14
P141,140,10
P142,141,1
P143,142,20
P144,143,16
P145,144,10
P146,145,15
P147,146,12
P148,147,17
P149,148,8
P150,149,7
P151,150,10
P152,151,19
P153,152,16
P154,153,16
P155,154,6
P156,155,8
P157,156,5
P158,157,3
P159,158,13
P160,159,11
P161,160,1
P162,161,1
P163,162,8
P164,163,16
P165,164,15
P166,165,3
P167,166,4
P168,167,12
P169,168,13
P170,169,1
P171,170,2
P172,171,16
P173,172,20
P174,173,11
P175,174,12
P176,175,12
P177,176,17
P178,177,2
P179,178,13
P180,179,14
P181,180,17
P182,181,5
P183,182,9
P184,183,15
P185,184,20
P186,185,19
P187,186,10
P188,187,3
P189,188,17
P190,189,2
P191,190,15
P192,191,2
P193,192,12
P194,193,9
P195,194,9
P196,195,2
P197,196,19
P198,197,9
P199,198,8
P200,199,12
P201,200,10
P202,201,1
P203,202,13
P204,203,2
P205,204,17
P206,205,15
P207,206,18
P208,207,7
P209,208,16
P210,209,10
P211,210,13
P212,211,20
P213,212,10
P214,213,4
P215,214,6
P216,215,12
P217,216,1
P218,217,15
P219,218,11
P220,219,18
P221,220,3
P222,221,10
P223,222,19
P224,223,6
P225,224,18
P226,225,6
P227,226,8
P228,227,19
P229,228,16
P230,229,14
P231,230,8
P232,231,11
P233,232,10
P234,233,6
P235,234,12
P236,235,15
P237,236,5
P238,237,18
P239,238,20
P240,239,6
P241,240,9
P242,241,8
P243,242,1
P244,243,14
P245,244,17
P246,245,18
P247,246,11
P248,247,5
P249,248,10
P250,249,6
P251,250,12
P252,251,20
P253,252,12
P254,253,2
P255,254,12
P256,255,3
P257,256,13
P258,257,17
P259,258,15
P260,259,3
P261,260,16
P262,261,6
P263,262,12
P264,263,15
P265,264,5
P266,265,14
P267,266,8
P268,267,17
P269,268,14
P270,269,9
P271,270,2
P272,271,4
P273,272,4
P274,273,4
P275,274,6
P276,275,2
P277,276,9
P278,277,1
P279,278,17
P280,279,6
P281,280,14
P282,281,19
P283,282,2
P284,283,1
P285,284,1
P286,285,7
P287,286,13
P288,287,16
P289,288,5
P290,289,20
P291,290,4
P292,291,7
P293,292,19
P294,293,16
P295,294,17
P296,295,3
P297,296,12
P298,297,13
P299,298,2
P300,299,10
P301,300,18
P302,301,10
P303,302,11
P304,303,3
P305,304,5
P306,305,10
P307,306,7
P308,307,8
P309,308,10
P310,309,7
P311,310,15
P312,311,4
P313,312,13
P314,313,10
P315,314,2
P316,315,18
P317,316,19
P318,317,4
P319,318,11
P320,319,19
P321,320,14
P322,321,18
P323,322,3
P324,323,9
P325,324,3
P326,325,8
P327,326,14
P328,327,20
P329,328,1
P330,329,14
P331,330,18
P332,331,18
P333,332,20
